# [Create] Sun Feb 10 2019 09:19:52 GMT+0800 (中国标准时间)
# [Pixel] 8x8
# [Memo] 符文
0x00, 0x20, 0x1e, 0x10, 0x14, 0x10, 0x00, 0x00, 
# editor_data_ended 
# clipboard data (one block = 8x8 pixel = 0x00 x 8)  
# 0 - 7 blocks 
0x00, 0xe4, 0x88, 0x49, 0x2a, 0x28, 0xc4, 0x04,
0x00, 0x00, 0x7e, 0x14, 0x0a, 0x00, 0x00, 0x00,
0x00, 0x3e, 0x92, 0x42, 0x22, 0x12, 0x0a, 0x04,
0x00, 0x00, 0x8c, 0x52, 0x25, 0x52, 0x8c, 0x00,
0x06, 0x18, 0x60, 0x82, 0x62, 0x1a, 0x06, 0x02,
0x00, 0x9f, 0xd1, 0x91, 0xfd, 0x91, 0x80, 0x00,
0x38, 0x04, 0x22, 0x04, 0x38, 0x44, 0x21, 0x1e,
0x00, 0x80, 0xa1, 0xa5, 0xa1, 0x92, 0x8c, 0x00,
# 8 - 15 blocks 
0x00, 0x22, 0x22, 0x3e, 0x02, 0x02, 0x3e, 0x00,
0x00, 0x70, 0x08, 0x0e, 0x30, 0x40, 0x30, 0x0e,
0x10, 0x28, 0x28, 0x54, 0x44, 0xff, 0x02, 0x02,
0x00, 0x18, 0x08, 0x7d, 0x48, 0x48, 0x78, 0x00,
0x00, 0x0c, 0x10, 0x11, 0x3c, 0x52, 0x42, 0x3c,
0x3c, 0x42, 0x89, 0x8d, 0x81, 0xa1, 0x42, 0x3c,
0x00, 0x00, 0xff, 0x42, 0x24, 0x24, 0x42, 0x00,
0x00, 0xff, 0x0a, 0x14, 0x28, 0x50, 0xff, 0x00,
# 16 - 23 blocks 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 24 - 31 blocks 
0x19, 0x25, 0x25, 0x95, 0xff, 0x89, 0x25, 0x19,
0x19, 0x29, 0x47, 0x81, 0xa5, 0x25, 0x19, 0xff,
0x01, 0x01, 0x11, 0x3f, 0x01, 0x01, 0x3f, 0x01,
0x6d, 0xbb, 0x99, 0x41, 0x21, 0x21, 0xff, 0x01,
0x41, 0x99, 0xa5, 0xa5, 0xa5, 0xa5, 0x43, 0x11,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x40, 0x41, 0x42, 0x44, 0x48, 0x50, 0x60, 0x40,
# 32 - 39 blocks 
0x05, 0x05, 0x35, 0x2d, 0x25, 0x11, 0xff, 0x01,
0x09, 0x55, 0xa1, 0x81, 0x85, 0x93, 0x43, 0x3d,
0x11, 0x21, 0x45, 0x4d, 0x35, 0x05, 0xff, 0x01,
0x09, 0x35, 0x55, 0xd7, 0x31, 0x11, 0xff, 0x01,
0x45, 0x45, 0x45, 0x39, 0x11, 0x11, 0xff, 0x01,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0xc2, 0xb4, 0x8c, 0x82, 0x81, 0x8e, 0xb0, 0xc0,
# 40 - 47 blocks 
0x01, 0x39, 0x45, 0x85, 0x85, 0x85, 0x47, 0x01,
0x01, 0x39, 0x45, 0x85, 0x87, 0x85, 0x79, 0x01,
0x01, 0x49, 0x95, 0x95, 0x95, 0x95, 0x67, 0x01,
0x31, 0x49, 0x85, 0xe5, 0x95, 0x95, 0x67, 0x01,
0x01, 0x1f, 0x21, 0x21, 0x1f, 0x01, 0xff, 0x01,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0xc2, 0x34, 0x0c, 0x02, 0x81, 0x8e, 0xb0, 0xc0,
# 48 - 55 blocks 
0x01, 0x19, 0x25, 0x45, 0x05, 0x05, 0xff, 0x01,
0x02, 0x31, 0x51, 0x4a, 0x24, 0x11, 0xff, 0x01,
0x31, 0x49, 0x45, 0x45, 0x35, 0x45, 0x07, 0x01,
0x26, 0x59, 0x55, 0x56, 0x40, 0x21, 0xff, 0x01,
0x01, 0x11, 0x31, 0x11, 0x11, 0x11, 0xff, 0x01,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
